model,slope,intercept,R2,RMSE,n
PiB_SUVR_to_CL,109.7831521776305,-111.99750741729947,,,
FBP_to_PiB_eq_SUVR,1.695021002429027,-0.6984057587489682,0.859867244448618,0.1980396567048586,44.0
FBP_ours_to_CL_direct_WC,186.08474865394567,-188.67069311177093,,,
