model,slope,intercept,R2,RMSE,n
PiB_SUVR_to_CL,106.65623481977738,-110.43415864144612,,,
FBP_to_PiB_eq_SUVR,1.6745500472454466,-0.7048299159660899,,,
FBP_ours_to_CL_direct_WC,178.601203,-185.608664,,,
